% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
197 +2.509502220e+03 +2.509502220e+03 +2.743422220e+03 +2.743422220e+03 +1.8000e+01 +1.6000e+01 +1.8000e+01 +3.0000e+00 +8.0000e+00 +4.0000e+00 +0.0000e+00 +2.0000e+00 +4.0000e+00 +9.0000e+00 +1.8000e+01 +9.0000e+00 +0.0000e+00 +1.3000e+01 +8.0000e+00 +1.0000e+00 +3.0000e+00 +1.0000e+01 +1.5000e+01 +8.0000e+00
% function evaluation | noise-free fitness - Fopt (-6.092000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.507282036e+03 +6.507282036e+03 +6.446362036e+03 +6.446362036e+03 +8.0000e+00 +0.0000e+00 +1.1000e+01 +2.5000e+01 +2.2000e+01 +4.0000e+00 +3.0000e+00 +1.5000e+01 +3.0000e+01 +2.2000e+01 +1.0000e+00 +3.0000e+01 +0.0000e+00 +2.0000e+00 +3.0000e+01 +2.9000e+01 +1.4000e+01 +1.6000e+01 +1.0000e+00 +1.0000e+01
2 +4.252614836e+03 +4.252614836e+03 +4.191694836e+03 +4.191694836e+03 +1.8000e+01 +0.0000e+00 +1.0000e+01 +2.0000e+01 +8.0000e+00 +1.6000e+01 +1.1000e+01 +5.0000e+00 +1.2000e+01 +8.0000e+00 +3.0000e+00 +1.2000e+01 +1.2000e+01 +2.5000e+01 +1.0000e+01 +8.0000e+00 +2.6000e+01 +2.3000e+01 +2.4000e+01 +3.0000e+00
9 +3.147704436e+03 +3.147704436e+03 +3.086784436e+03 +3.086784436e+03 +4.0000e+00 +1.1000e+01 +0.0000e+00 +1.8000e+01 +1.8000e+01 +1.5000e+01 +1.0000e+00 +3.0000e+00 +7.0000e+00 +2.1000e+01 +8.0000e+00 +7.0000e+00 +1.3000e+01 +1.0000e+01 +0.0000e+00 +7.0000e+00 +7.0000e+00 +2.0000e+01 +2.2000e+01 +8.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.031815372e+03 +4.031815372e+03 +4.012335372e+03 +4.012335372e+03 +0.0000e+00 +7.0000e+00 +5.0000e+00 +8.0000e+00 +2.3000e+01 +3.0000e+00 +8.0000e+00 +1.8000e+01 +1.3000e+01 +6.0000e+00 +2.7000e+01 +4.0000e+00 +2.0000e+00 +3.0000e+01 +2.9000e+01 +1.2000e+01 +0.0000e+00 +1.4000e+01 +4.0000e+00 +9.0000e+00
32 +3.482464972e+03 +3.482464972e+03 +3.462984972e+03 +3.462984972e+03 +3.0000e+00 +2.9000e+01 +1.0000e+01 +2.6000e+01 +2.0000e+01 +1.1000e+01 +0.0000e+00 +8.0000e+00 +1.4000e+01 +1.2000e+01 +1.9000e+01 +1.0000e+01 +1.6000e+01 +1.0000e+00 +4.0000e+00 +0.0000e+00 +1.1000e+01 +1.0000e+00 +1.6000e+01 +4.0000e+00
338 +2.429416972e+03 +2.429416972e+03 +2.409936972e+03 +2.409936972e+03 +1.4000e+01 +7.0000e+00 +1.2000e+01 +1.3000e+01 +0.0000e+00 +2.1000e+01 +1.4000e+01 +6.0000e+00 +1.1000e+01 +0.0000e+00 +1.0000e+01 +1.5000e+01 +1.0000e+00 +5.0000e+00 +1.0000e+00 +4.0000e+00 +6.0000e+00 +0.0000e+00 +1.1000e+01 +1.7000e+01
% function evaluation | noise-free fitness - Fopt (1.344700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.087831066e+03 +6.087831066e+03 +6.222301066e+03 +6.222301066e+03 +2.8000e+01 +6.0000e+00 +8.0000e+00 +8.0000e+00 +6.0000e+00 +7.0000e+00 +1.8000e+01 +5.0000e+00 +6.0000e+00 +9.0000e+00 +6.0000e+00 +2.0000e+00 +1.7000e+01 +2.8000e+01 +2.0000e+01 +3.0000e+01 +2.6000e+01 +1.8000e+01 +1.4000e+01 +3.0000e+00
53 +3.966791066e+03 +3.966791066e+03 +4.101261066e+03 +4.101261066e+03 +1.8000e+01 +9.0000e+00 +5.0000e+00 +1.9000e+01 +1.7000e+01 +8.0000e+00 +1.8000e+01 +1.0000e+01 +2.5000e+01 +3.0000e+00 +0.0000e+00 +7.0000e+00 +1.1000e+01 +1.1000e+01 +1.0000e+01 +6.0000e+00 +2.5000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (4.453500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.433177145e+03 +3.433177145e+03 +3.878527145e+03 +3.878527145e+03 +8.0000e+00 +0.0000e+00 +2.4000e+01 +2.1000e+01 +0.0000e+00 +1.6000e+01 +1.1000e+01 +1.3000e+01 +9.0000e+00 +1.4000e+01 +1.0000e+00 +2.2000e+01 +3.0000e+00 +2.0000e+01 +9.0000e+00 +0.0000e+00 +1.1000e+01 +1.6000e+01 +4.0000e+00 +8.0000e+00
944 +2.257469945e+03 +2.257469945e+03 +2.702819945e+03 +2.702819945e+03 +8.0000e+00 +1.3000e+01 +4.0000e+00 +1.4000e+01 +1.3000e+01 +5.0000e+00 +2.0000e+00 +1.8000e+01 +3.0000e+00 +0.0000e+00 +2.0000e+01 +9.0000e+00 +5.0000e+00 +2.0000e+00 +2.2000e+01 +1.3000e+01 +5.0000e+00 +0.0000e+00 +3.0000e+00 +2.1000e+01
